publish_date,headline,description
3/10/20,Putin Backs Proposal Paving Way for New Presidential Term,Russian parliament adopts a proposal that would reset Putin’s presidential term count
3/10/20,Coronavirus Confronts Global Economy With Tough Recovery,Companies are dealing with both a shock to their supply chains and weaker demand from rattled consumers
3/10/20,Airlines Trim Capacity Over Coronavirus Spread; Some Executives Take Pay Cuts,"Carriers face the most severe downturn in decades as businesses, tourists reduce travel"
3/10/20,Lawsuit Accuses Quibi of Patent Infringement Over Video Feature,Video-technology firm Eko says Quibi’s Turnstyle feature makes unauthorized use of its intellectual property 
3/10/20,Lawmakers Rebuff Trump on Payroll-Tax Suspension for Outbreak,"Some Republicans, Democrats seek targeted coronavirus relief; Mnuchin discusses possible package with Pelosi "
3/10/20,Dick’s to Stop Selling Firearms in Half Its Stores,"Retailer had already scaled back gun business, raised age requirements "
3/10/20,U.S. Steps Up Coronavirus Fight,"New York set up the country’s first ‘containment area,’ colleges canceled classes and Democratic presidential candidates canceled rallies in Ohio"
3/10/20,Artificial Turf Strikes Back in Baseball,"After nearly disappearing from the majors for a quarter-century, three teams have switched from grass to turf in the span of 12 months"
3/10/20,Fever-Detecting Goggles and Disinfectant Drones: Countries Turn to Tech to Fight Coronavirus,"But with high-tech solutions come bugs, glitches and human error"
3/10/20,The Latest Must-Have Accessory for Men Is...a Pearl Necklace?,"Harry Styles, Pharrell Williams and A$AP Rocky are just a few of the trend-setting gentlemen wearing the audaciously delicate strands."
3/10/20,"After a Buildup to Counter Iran, U.S. Troops Begin Leaving Mideast","U.S. trimming the 90,000 troops across the region as Iran, ravaged by the new coronavirus, hasn’t posed as large a threat as U.S. officials once feared "
3/11/20,"Rocket Attack on Iraqi Base Kills Two U.S. Troops, British Soldier",Another dozen people were wounded after 15 rockets were fired at Camp Taji base 
3/11/20,Carl Icahn Boosts Occidental Stake to Almost 10% as Shares Plummet,Billionaire shareholder activist has criticized $38 billion acquisition of Anadarko 
3/11/20,Hate Work Travel? That Could Be a Problem for Warren Buffett,"Berkshire Hathaway is betting U.S. airlines will overcome coronavirus, but some fear it could permanently reduce demand for corporate travel "
3/11/20,AT&T’s Xandr Ad Unit Cuts TV Deals With Disney and AMC,Tools for data-driven advertising expand their reach
3/11/20,Supreme Court Allows Trump Administration to Maintain Remain-In-Mexico Immigration Policy,High court allows administration to maintain policy during ongoing litigation
3/11/20,U.S. Stocks Decline as Volatility Increases,European share benchmarks drift lower despite an unexpected rate cut by the Bank of England
3/11/20,"West’s Biggest Reservoir Is Back on the Rise, Thanks to Conservation, Snow","Lake Mead, near Las Vegas, reaches its highest level in six years after successful efforts to slash water use"
3/11/20,U.K. Sends a Jolt of Economic Stimulus to Cushion Against the Coronavirus,"Bank of England cuts interest rate, while policy makers announce measures including a facility to encourage banks to lend to small businesses"
3/11/20,Joe Biden Looks to Unite Democrats After Beating Bernie Sanders in Michigan,Two powerful liberal groups declare former vice president the likely party nominee 
3/11/20,Saudis Plan for Record Oil Production Capacity in Price War With Russia,"Some OPEC nations try to broker oil-market peace, others grow resentful of cartel leader, Saudi Arabia "
3/11/20,Online Travel’s Unknown Destination,A warning from Booking.com’s parent casts more doubt on the sector’s outlook 
3/11/20,U.S. to Ban Travel From Europe for 30 Days due to Coronavirus,"Travel suspension begins midnight Friday, excludes the U.K."
3/11/20,Chinese-Owned TikTok Launches U.S. ‘Transparency Center’ to Counter Criticism,Video-sharing app’s Los Angeles facility to allow outside experts to view how teams at the company moderate content 
3/11/20,Stop the Music: South by Southwest Coronavirus Cancellation Reverberates Through Economy,"The outbreak upends events across the globe. In Austin, the financial hit is ‘kind of like a tornado’  "
3/11/20,Coronavirus-Closed Factories in China Face Delays in Restarting as Authorities Flip-Flop,Authorities push back the restart date for most plants to the end of next week
3/11/20,Congress Approves Bill to Kill DeVos Plan on Student-Debt Forgiveness,President Trump hasn’t said whether he would sign the bill 
3/11/20,Top Colleges by Size in the Northeast,The region has more than half of the top 10 small schools nationwide in the WSJ/THE College Rankings
3/11/20,Saudi Arabia’s Crown Prince Tanked Oil Markets. Here’s the Back Story.,"Mohammed bin Salman, one of the most powerful men in the Middle East, chose a weekend when the world was preoccupied with the novel coronavirus to assert his standing at home and abroad"
3/11/20,Coronavirus Could Halt New York City’s St. Patrick’s Day Parade,Mayor de Blasio says his administration is discussing options with parade organizers
3/11/20,"Coronavirus Hits Fiat Chrysler, Pirelli Plants in Italy",Auto giant and tire maker to lower production as epidemic spreads
3/11/20,IT Spending Forecasts Take a Hit as Coronavirus Slams Global Markets,"‘Downside risk is increasing every day,’ says IDC spending report"
3/11/20,John Wood Group Earmarks $46 Million for Bribery Settlements,The oil-field services company said it could estimate the cost of expected settlements related to dealings with Unaoil 
3/11/20,"Biden Looks to Unite Democrats, as Sanders Vows to Stay in Race",Two powerful liberal groups declare former vice president the likely party nominee 
3/11/20,House Passes War Powers Resolution Limiting President’s Ability to Strike Iran,"Bill passed Senate in February, in response to U.S. killing of Iran’s Gen. Qassem Soleimani"
3/11/20,"MLB Wants Alternate Sites, Not Empty Stadiums, If Coronavirus Disrupts Season","Teams could play at other stadiums in cities less affected by the crisis, or they could stay at their spring training facilities in Arizona or Florida"
3/11/20,"‘Ridiculously Disastrous’: NFL, Players Nervously Await CBA Vote",League owners already approved a new collective bargaining agreement. Now it’s up to the players—and there are outspoken players who don’t want it to pass
3/11/20,House for Sale—Pool and Oval Office Included,Homeowners create their own version of presidential digs; ‘that wow factor’
3/11/20,House Passes Revised Surveillance Law as Deadline Nears,Factions within both parties oppose the bill to renew a cornerstone of national-security system that expires this weekend
3/11/20,Dow Jones Industrial Average’s 11-Year Bull Run Ends,"Blue-chip stock index drops more than 1,400 points, closing a bull run that started in 2009"
3/11/20,Hollywood Relies More Than Ever on Movie-Streaming Revenue From Overseas,China in 2020 was expected to unseat the U.S. as world’s largest box-office market—until widespread theater closings due to coronavirus
3/11/20,Lack of Sick Time Worries Workers as Coronavirus Looms,Some big employers are adjusting their policies. But millions question whether their sick days will run out.
3/11/20,Coronavirus Declared Pandemic by World Health Organization,China reports rise in infections imported from abroad; Merkel warns of broader spread of virus
3/11/20,Appeals Court Reviews Ohio Law Restricting Down-Syndrome Abortions,Antiabortion activists see hope that the conservative bench could uphold protection of fetuses with the genetic disorder 
3/11/20,South Korean Tanker Owner Heung-A Shipping Seeks Debt Restructuring,Slowdown stemming from coronavirus hits troubled tanker operator that runs 19 ships 
3/11/20,Neiman Marcus Backs Away From Discount Business,Retailer plans to close more than half of its Last Call stores to focus on luxury shoppers
3/11/20,The British Are Coming—to Your Streaming Menu,"With mainstream and niche services ramping up offerings of classic U.K. fare, fans must solve the mystery of what and how to watch"
3/11/20,Ailing Chinese Bank Secures $1.7 Billion of New Capital,"Bank of Jinzhou, deep in bad loans, plans to sell new shares to two Beijing-backed buyers"
3/11/20,"U.S. Budget Deficit Grew 15% in First Five Months of Fiscal Year, Treasury Says",The U.S. budget deficit totaled $625 billion in period as government revenue rose 7%
3/11/20,Xandr Chief Executive Brian Lesser Resigns,"Lesser was founding CEO of Xandr, AT&T’s unit that uses data to sell targeted ads"
3/11/20,Stocks Approach Bear Market As Dow Falls More Than 5%,"Index drops more than 1,300 points as World Health Organization declares coronavirus a pandemic"
3/11/20,Putin’s Bid to Extend Rule Is Approved by Russia’s Parliament,"Constitutional changes could make Putin the longest-ruling leader in Russia’s modern history, surpassing Stalin"
3/11/20,Digital Ad Upfronts Weigh Going Online-Only Amid Coronavirus Fears,YouTube will stream its annual pitch to advertisers instead of hosting an in-person event 
3/11/20,"U.S. Coronavirus Cases Top 1,000; Merkel Warns of Broader Spread",China reports a rise in infections imported from abroad; Bank of England follows Fed with rate cut 
3/11/20,U.S. Upbraids China Over Human Rights,"Pompeo, issuing human rights report, repeats that China’s treatment of Muslims represents the ‘stain of the century’ "
3/11/20,Boeing Acts to Preserve Cash,Coronavirus adds to pressure from delays in getting MAX recertified 
3/11/20,Trump Administration to Delay April 15 Tax Deadline for Most Individuals,Tax filing extension would be part of broader fiscal stimulus effort
3/11/20,Plunging Mortgage Rates Might Not End U.S. Housing Doldrums,"Hangovers from financial crisis limit new construction and keep prices high, weighing on economy "
3/11/20,"Sanders Vows to Stay in Race, as Biden Looks to Unite Democrats",Two powerful liberal groups declare former vice president the likely party nominee 
3/11/20,Stocks’ 11-Year Bull Run Is on the Verge of Ending,"Index drops more than 1,300 points, putting 11-year bull run for stocks in jeopardy"
3/11/20,How to Stock Up for Coronavirus Without Getting Fleeced,"Panicked because the Purell’s out? Remain calm, and heed these tips "
3/11/20,Airline Fees Rankle Travelers as Coronavirus Cancels Trips,"Passengers want refunds, but airlines and other travel companies are often offering more limited alternatives"
3/11/20,U.S. Soccer Federation Says Male Players Carry ‘More Responsibility’; Backlash Follows,The court filing highlights the hazards the federation faces in defending against the U.S. women’s pay-discrimination suit
3/11/20,AT&T Chief’s Pay Jumped to $32 Million After Hedge Fund Battle,Stock appreciation helped increase top executives’ compensation after fight with activist investor Elliott Management
3/11/20,U.S. Treasury Blacklists Two Zimbabwean Officials for Alleged Human Rights Abuses,The designations followed the blacklisting of the two officials by the U.S. State Department for alleged human rights violations last year 
3/11/20,Why Dennis Quaid Bought a Smart Toilet,"The actor, musician and host of his forthcoming podcast ‘Dennissance’ on cutting the cord, catching up with the Queen and owning a robot that tends to very private needs"
3/11/20,Swedbank Notifies U.S. of Potential Sanctions Violations,The bank said an internal investigation found $4.8 million in transactions that constitute potential sanctions violations
3/11/20,"Saudi Arabia Signals Bigger Oil-Output Boost, Pushing Crude Price Lower",State oil giant Aramco says the kingdom’s energy ministry ordered it to raise output capacity to 13 million barrels a day 
3/11/20,Plunging Mortgage Rates May Not End U.S. Housing Doldrums,"Hangovers from financial crisis limit new construction and keep prices high, weighing on economy "
3/11/20,Starboard Nominated Minority Slate of Directors to eBay Board,Activist investor has pressured the online marketplace to move faster on sale of classified-ad unit
3/11/20,"Construction Industry Tackles Suicide, an Occupational Hazard",Firms aim to change a stoic culture and confront mental-health issues; ‘I don’t want to lose more employees’ 
3/11/20,NCAA Tournaments Bar Spectators Over Coronavirus Worries,New edicts from local officials force organizers to bar spectators at the men’s and women’s basketball tournaments and NBA games in cities with coronavirus outbreaks
3/11/20,Boeing Books 46 Cancellations Including More MAX Jets,Aerospace giant recorded a net loss of 28 orders in February as MAX remains grounded 
3/11/20,Japan Olympics Chief Rejects Idea of Two-Year Delay Over Coronavirus,"‘We can’t just stop the whole thing,’ says former prime minister Yoshiro Mori"
3/11/20,‘Rent-a-Banks’ Defy States’ Growing Efforts to Curb High-Cost Lending,"Lenders ink deals with banks to offer loans in states with interest-rate caps, spurring calls for tighter federal regulation"
3/11/20,PepsiCo Agrees to Buy Energy-Drink Maker,Beverage giant to pay $3.85 billion for Rockstar
3/11/20,Whether You’re Tested for Coronavirus Depends on Where You Live,"While testing-equipment providers work to increase supplies, availability is uneven and some labs are limiting exams to the most severe cases"
3/11/20,"Modell’s Files for Bankruptcy, Plans to Close Down All Stores","The sporting-good retailer, a fixture in greater New York, plans to shutter its stores after failing to secure an investor "
3/11/20,"For These Young Homebuyers, Age is Just a Number","As older homes sit unsold, a small contingent of deal seekers are trading turn key for fixer-uppers"
3/12/20,Princess Cruises Cancels All Voyages for Two Months,"Two recent trips suffered coronavirus outbreaks, leaving passengers in quarantine"
3/12/20,"Slack, Broadcom Among Tech Companies Seeing Mixed Coronavirus Impact","Publishing software provider Adobe cites impact on corporate spending, particularly in areas hit by the pandemic "
3/12/20,"U.S. Soccer Federation President Resigns in Wake of Sponsor, Player Backlash",Federation’s court filings asserting that male players had more skill and responsibility than women players prompted outrage from U.S. women’s team suing for discrimination
3/12/20,Latest Attack on U.S. Forces Could Drag Iraq Back Into Washington’s Tussle With Tehran,Killing of two U.S. troops and a British soldier threatens to worsen tensions with both Baghdad and Tehran
3/12/20,ACLU Sues U.S. for Records of Facial-Recognition Use at Airports,The effort marks the latest salvo in a nationwide activist campaign to halt use of the technology 
3/12/20,Judge Nixes New York Law Setting Up Public Campaign-Finance System,Justice wrote that move was an ‘improper and unconstitutional delegation of legislative authority’ 
3/12/20,U.S. Travel Ban Is Expected to Snarl Trans-Atlantic Airfreight,Much of the air cargo between U.S. and Europe is transported on passenger planes 
3/12/20,"New York, New Jersey Restrict Size of Public Gatherings Over Coronavirus; Shows Canceled",New York caps gatherings at 500 people; New Jersey at 250
3/12/20,‘Never Rarely Sometimes Always’ Review: Life or Death in Few Words,Two young women from rural Pennsylvania travel to New York to terminate an unexpected pregnancy.
3/12/20,College Students’ Dispersal Over Virus Concern Is Expected to Snarl Census,"Students who live at their schools should be counted there, not at their parents’ homes, even if they are home on a vacation or break, according to the Census Bureau"
3/12/20,Harvey Weinstein Sentenced to 23 Years,Hollywood producer faced between five and 29 years in prison after being convicted of criminal sex act and third-degree rape
3/12/20,Longtime Amazon Executive Departs for Online Lender SoFi,Maria Renz worked directly for CEO Jeff Bezos during her 20-year stint at the e-commerce giant 
3/12/20,"Two Democrats, Altered Fortunes, Empty Stands: Dynamics Shift in 11th Debate",Scaled-down televised event comes after Biden dominated nominating contests over past two weeks 
3/12/20,Whitney MacMillan Transformed Cargill Into a Global Food Giant,"CEO expanded firm with mills and plants in South America, Europe and Asia"
3/12/20,TikTok Owner Taps Two Executives to Run Its China Business,Founder Zhang Yiming will continue to serve as global chief executive of China-based Bytedance 
3/12/20,Disney to Close U.S. and Paris Resorts Temporarily as Coronavirus Spurs Cancellations,Company says no reported cases of disease caused by coronavirus at Disneyland 
3/12/20,Judge Orders Chelsea Manning Released From Jail,She has been held for refusing to testify before a grand jury investigating Julian Assange
3/12/20,Bow Street Seeks to Oust Mack-Cali CEO,"Investment firm takes another swing at the real-estate investment trust, seeking four more board seats "
3/12/20,The Coronavirus Stopped Sports. Golf Is Playing Through It.,The Players Championship teed off as planned Thursday following the suspension of the NBA season and unprecedented upheaval in the sports world
3/12/20,UPS Replaces CEO David Abney With Board Member,Carol Tomé will be the first outsider to run the package giant and will take over as CEO on June 1 
3/12/20,Oracle Tees Up Another $15 Billion In Buybacks,"The enterprise-software provider posted $9.79 billion in quarterly revenue, beating forecasts "
3/12/20,U.S. Strikes Iran-Backed Militias in Iraq,"Operations, targeting weapons storage facilities, follow the recent killing of two U.S. troops, British soldier"
3/12/20,"Juul Co-Founder James Monsees Steps Down From Board, Company Says","James Monsees leaves e-cigarette maker as it faces increasing financial and regulatory pressures arising from increase in teen vaping
		
			"
3/12/20,FASB Issues More Relief to Help Companies With Libor Transition,The latest guidance allows businesses to preserve hedge accounting when modifying financial contracts 
3/12/20,"Working Remotely Requires Cultural Change, Executives Say",CEO of totally remote startup GitLab says he is getting questions from customers on how to establish effective work-from-home programs
3/12/20,Musk’s SpaceX Looking to Compete for $16 Billion in Federal Broadband Subsidies,Competitors complain company’s satellite-based technology is unproven
3/12/20,Inside a No-Go Zone for Terror,Mauritania has closed off a wide swath of the Sahara to block the path of Islamist militants
3/12/20,‘Panic’: That Wave of Anxiety Is Named After a Partying Greek God,The term comes from a half-goat deity known for playing pipes—and occasionally letting out terrifying screams 
3/12/20,Companies Weigh Currency-Hedging Strategies Amid Coronavirus Market Turmoil,The pandemic has put finance chiefs’ liquidity plans to the test
3/12/20,Tanker Freight Rates Surge As Crude Price War Takes Hold,"After boosting its oil output, Saudi Arabia is lining up vessels to get the crude to market "
3/12/20,Fans? No Fans? Or Shut It Down? A Surreal NBA Night Shows: This Is Not a Game,"A basketball star tests positive for the coronavirus, and the entire conversation about sporting events changes"
3/12/20,U.S. Soccer President Apologizes After U.S. Women Protest Court Filing,Carlos Cordeiro addressed the filing’s language after sponsor criticism and players turning jerseys inside-out
3/12/20,White House Evaluates Trump Exposure to Coronavirus,Brazilian official who recently met with president has tested positive for Covid-19; Congress closes U.S. Capitol to public
3/12/20,SoftBank Plans $4.8 Billion Share Buyback Following Pressure From Elliott,The proposed share buyback isn’t as large as the one urged by the activist shareholder
3/12/20,Gap Promotes Old Navy Finance Chief to CFO of Company,Move is part of a larger corporate reshuffling at the clothing retailer 
3/12/20,Fans Were Barred From a Paris Saint Germain Game. They Showed Up Anyway.,The French government has a plan to curb mass gatherings but thousands of PSG fans gathered outside the Parc des Princes for the team’s Champions League match
3/12/20,Peregrine Pollen Brought Theatrical Flair to Auctions,"Englishman, aided by macaw, expanded Sotheby’s in U.S. and Latin America "
3/12/20,National Hockey League Suspends Play,The move to pause the 2019-20 season comes following an emergency meeting of the league’s board of governors
3/12/20,Companies Walk Fine Line on Employee Data Amid Coronavirus Outbreak,"In Europe and the U.S., businesses are navigating a complex situation: how much information about health, travel do they need from workers?"
3/12/20,"MLB, NHL Suspend Play",The moves come following an emergency meeting of the league’s board of governors
3/12/20,‘The Hunt’ Review: Stalking Satire,Liberal elites pursue right-wingers in a sly gorefest. 
3/12/20,The Man Behind the Plan to Remake FedEx,"Raj Subramaniam has orchestrated the company’s embrace of online deliveries, capping his rise from marketing analyst to next likely CEO "
3/12/20,The Coronavirus and Your Job: What the Boss Can—and Can’t—Make You Do,
3/12/20,Stocks Plunge 10% In Dow’s Worst Day Since 1987,"Benchmarks slide as S&P, Nasdaq join Dow in bear-market territory"
3/12/20,Toys ‘R’ Us Creditor Trust Sues Former Owners Over Losses,Lawsuit alleges a cozy relationship between former CEO David Brandon and Toys ’R’ Us owner Bain Capital 
3/12/20,Oil Markets Point to a Lasting Glut of Crude,A closely watched market indicator shows supply is expected to dwarf demand in the coming months   
3/12/20,Stocks Plunge 10% in Dow’s Worst Day Since 1987,"Benchmarks slide as S&P, Nasdaq join Dow in bear-market territory"
3/12/20,"New York’s Metropolitan Museum to Shut Down, Along with Others, Due to Coronavirus",Institutions say shutdowns are necessary to ensure the health and safety of the public and their staff
3/12/20,The Internet Can’t Save Us From Loneliness in Pandemic,
3/12/20,"Europe Criticizes U.S. Travel Ban;  Carriers, Tour Operators Rush to Respond",Restrictions are a hit to already reeling airline industry
3/12/20,"How One Family Is Dealing With Life, Disrupted","In Hong Kong, they face closed schools and facilities, shortages of some necessities—and a small apartment"
3/12/20,The Simple Secret to Making Button Mushrooms Intensely Delicious,"These days, button mushrooms don’t get the same respect wild varieties do. Learn the lost art of rendering them irresistible in recipes for an easy sauté, a piquant pickle and a profoundly savory pasta"
3/12/20,Trump’s Coronavirus Travel Ban Deepens Tensions With European Allies,EU capitals complain about lack of notice and coordination in dealing with a global health problem 
3/12/20,U.S. Stock Rout Deepens in Broad Shift to Safety,"Stocks have resumed fall after a 7% drop in S&P, Dow earlier briefly halted trading"
3/12/20,Stocks Plunge Even as Central Banks Step In,"Benchmarks fall more than 7% as S&P, Nasdaq join Dow in bear-market territory"
3/12/20,GE Proposes Keeping KPMG as External Auditor,"Larry Culp, General Electric’s chief executive, got 2019 compensation valued at $24.6 million "
3/12/20,The Do’s and Don’ts of Handwashing,
3/12/20,Senate Fails to Approve Renewal of  Domestic-Surveillance Powers,Domestic spying tools now set to expire in three days; two GOP senators clash on Senate floor
3/12/20,Coronavirus Prep Divides Couples: How Many Cans of Tuna Are Too Many?,"Some people are stocking up on food and supplies, though their spouses may not agree; ‘10,000 rolls of toilet paper’"
3/12/20,U.S. Blames Iran-Backed Group for Deadly Rocket Attack in Iraq,"Killing of two U.S. troops, British soldier augurs  more tensions between U.S. and both Baghdad and Tehran"
3/12/20,U.S. Hospitals Face Major Challenges as Coronavirus Spreads,"Executives are scrambling for beds and space to put patients if severe cases spike, searching for medical supplies and trying to ensure there are enough doctors and nurses"
3/12/20,The Economic Indicators That Shaped Three Generations,"A look at how the Dow, housing and other indicators fared when baby boomers, Generation X and millennials were coming of age"
3/12/20,Broadcom Withdraws Annual Financial Guidance Over Coronavirus Uncertainty,"Chip maker expects revenue of about $5.7 billion in the current quarter, below analysts’ projection"
3/12/20,Can Women Really Look Like Jennifer Lopez at 50?,"The glorification of super-fit 50-something stars including J. Lo and Jennifer Aniston, as well as a surge in antiaging tech, are putting a formerly sidelined age squarely in the spotlight. But the jury is out on whether ‘the new 50’ is inspirational or unachievable"
3/12/20,Coronavirus Crushes China Car Sales,"February sales were down 79% from a year earlier, with just 310,000 vehicles sold nationally"
3/12/20,"Despite Its Glitz and Glam, The Hamptons Real-Estate Market is Looking Grim",Wealthy buyers are forgoing the South Fork for less expensive and more laid back second-home locales  like the Hudson Valley and Long Island’s North Fork
3/12/20,Latest Attack on U.S. Forces in Iraq Could Drag It Back Into Washington’s Tussle With Iran,The killing of two U.S. troops and a British soldier threatens to worsen tensions with both Baghdad and Tehran
3/12/20,"U.S., Allies Strike Iran-Backed Militias in Iraq","Operations, targeting weapons storage facilities, follow the recent killing of two U.S. troops, British soldier"
3/12/20,Coronavirus Forces New Travel Curbs as High-Profile Cases Rise,"Pathogen has infected more than 127,000 people in 116 countries and regions, killing more than 4,700"
3/12/20,A Painter Between Countries,James Tissot was a star in the art worlds of late 19th-century London and Paris.
3/12/20,Why Do Raindrops Make Bubbles?,Rain falling on a puddle creates extraordinary structures too rapidly for the eye to see.
3/12/20,Millennials’ Passions Haven’t Affected How They Invest,
3/12/20,NBC and CBS Cancel Their In-Person Upfront Pitches to Advertisers,TV industry’s annual ritual bends to fears over the coronavirus pandemic
3/12/20,Germany Labels Part of Nativist Opposition Party an Extreme-Right Group,"Intelligence agency’s move caps yearlong probe, allows surveillance of some members of AfD party "
3/12/20,"Coronavirus Forces New Travel Curbs, Bans on Large Gatherings","Pathogen has infected more than 127,000 people in 116 countries and regions, killing more than 4,700"
3/13/20,"Trump, House Democrats at Odds Over Coronavirus Bill",Providing paid leave to those affected remains a major sticking point
3/13/20,"Hotels Turn to Layoffs, Room Rate Cuts as Business Staggers","Industry scrambles as cancellations, major declines in corporate travel hit revenue"
3/13/20,How a French Ex-Commando’s Archeological Find Unified Putin and Macron,"The bones of a Napoleonic general killed during France’s failed 1812 invasion of Russia are helping spur a detente between the two powers, irking Western allies"
3/13/20,"For CEOs, a Crisis Is the Time to ‘Step Up’","A boss with crisis experience says leaders need to stay engaged, and ‘don’t freak out’"
3/13/20,"It’s a Tough Time to Be in the C-Suite, Good Time to Be in a Gas Field","It was a week of almost nothing but losers, but there were a few winners as well"
3/13/20,"As Other Sporting Events Fall, Wrestling Goes On",An event in Canada including 14 aspiring U.S. Olympians continued Friday despite a rash of cancellations elsewhere
3/13/20,This Sweet Ingredient Deserves a Permanent Place in Your Pantry,"Chestnut purée is pure pleasure, highly concentrated. Use it in this recipe for a chocolate chestnut Pavlova that looks like the work of a pastry chef but actually requires minimal skill and effort"
3/13/20,FAA Considers Enhanced Inspections After Southwest Jet Suffers Structural Problem,Crack in fuselage during flight prompts reassessment of maintenance checks for certain Boeing 737 models 
3/13/20,Jaimoe Still Revels in ‘Music and Love’,The 75-year-old drummer from the Allman Brothers Band is keeping its legacy alive
3/13/20,"U.S., Europe Scramble to Respond to
		
			
		
	Spreading Virus as Cases in Asia Abate","Number of coronavirus cases world-wide top 137,000; U.S. has 1,701 confirmed cases "
3/13/20,Appeals Court to Reconsider if Ex-Trump Counsel Must Comply With House Subpoena,Court vacated earlier ruling that Don McGahn didn’t have to testify
3/13/20,Broadcast TV Networks Cancel In-Person Upfront Pitches to Advertisers,TV industry’s annual ritual bends to fears over the coronavirus pandemic
3/13/20,Investors Are Bailing on Stock Funds at Near-Record Pace,Investors have pulled $47.4 billion out of global stock-focused mutual funds and exchange-traded funds in three weeks 
3/13/20,Stocks’ Rally Fades as Haywire Week Continues,Dow on pace to register one of its worst weeks ever as governments and central banks announced measures to cushion impact of the coronavirus
3/13/20,Amory Houghton’s Bet on Fiber Optics Helped Save Corning,"Fifth-generation member of founding family let it become dependent on TV tubes, then redeemed himself with wager on hair-thin strands of glass "
3/13/20,When Epidemics Wreaked Havoc in America,"Deadly infectious diseases were once common in the U.S., until science conquered them. In today’s crisis, it’s worth recalling those celebrated victories."
3/13/20,The Bosses Who Prefer When Employees Work From Home,"For some companies, working from home was already a default way of doing business. They’ve learned some important lessons about how to make the system work."
3/13/20,House Democrats Reach Deal With White House on Coronavirus Bill,"Measure would allow for free testing, paid sick leave"
3/13/20,"How a Doctor, Congressman and NBA Star Shut Down American Sports",The day began with Dr. Anthony Fauci surprising Congress. It ended with the suspension of the NBA season
3/13/20,Companies Have Discretion Over Whether to Disclose Coronavirus Infections,Firms may have a strong incentive to disclose medical information to prevent leaks or questions from investors
3/13/20,The Wine Writer Who Taught Us How to Say ‘Rosé’,"America’s first newspaper wine columnist, Ruth Ellen Church, introduced a beer-and-cocktails readership to the glories of the grape. In honor of Women’s History Month, our own wine columnist salutes her pioneering predecessor"
3/13/20,Coronavirus Drives Israeli Political Rivals to Discuss Unity Government,Benjamin Netanyahu and Benny Gantz agree to talks just days before the prime minister’s corruption trial begins 
3/13/20,Stocks Rise Sharply as Haywire Week Wraps Up,"Dow avoids one of its worst weeks ever with a nearly 2,000 point Friday rally"
3/13/20,Trump Declares National Emergency to Confront Coronavirus,"Number of coronavirus cases world-wide top 136,000; U.S. has more than 1,600 confirmed cases "
3/13/20,Bill Gates to Leave Boards of Microsoft and Berkshire Hathaway,Tech magnate says he will spend more time with his foundation 
3/13/20,The Financial Gurus Millennials Listen To,The generation is more comfortable getting advice on social media than at established institutions. Meet the new influencers.
3/13/20,Stocks Wrap Up Haywire Week With a Rally,"Investors grit teeth through a week that saw the Dow’s biggest drop since 1987, followed by its biggest gain since 2008"
3/13/20,"House Democrats, Trump Administration at Odds Over Coronavirus Legislation",Providing paid leave to those affected remains a major sticking point
3/13/20,U.S. Probes Chinese Telecom Giant ZTE for Possible Bribery,The Justice Department investigation comes after the company already pleaded guilty to dodging U.S. sanctions on Iran 
3/13/20,America’s Forgotten Epidemics,"Long before Covid-19, deadly infectious diseases were common in the U.S.—until science conquered them"
3/13/20,How China Kept Its Supermarkets Stocked as Coronavirus Raged,"Among other tactics, China relied on mandates from central authorities against hoarding and profiteering"
3/13/20,The Financial Education of a Son and His Mother,
3/13/20,"Bernie Sanders, Despite Losses, Sticks to Vision for Economy","The Vermont senator hasn’t backed down from his goal to dramatically expand government’s role in the economy. The approach grates on some Democrats who put more trust in markets, even if they share many of his overarching policy ideas. "
3/13/20,Some States Say Purdue’s Sackler Family Should Face Lawsuits,A group of states opposed to a proposed settlement of Purdue’s opioid liabilities wants to resume lawsuits targeting its controlling family 
3/13/20,Broadcom’s Bad News Dump is Good News,"By keeping its smartphone business and suspending M&A, chip maker shows it can adapt quickly "
3/13/20,"With Sports on Hiatus, Where Should Players Go?",MLB and the players’ union agreed to let players go home. NBA players have been advised to stay in their home markets. The NHL sent a directive asking players to refrain from using team facilities.
3/13/20,Russia Takes Aim at U.S. Shale Oil Producers,Moscow is fighting an oil-market war on two fronts—with Saudi Arabia and U.S. shale
3/13/20,Baghdad Angered by U.S. Strikes Against Iran-Backed Group in Iraq,U.S. says strikes against weapons-storage facilities were defensive in nature 
3/13/20,The Refi Boom Is Rattling Mortgage-Bond Investors,"As coronavirus pushes down interest rates, investors are demanding bigger returns to hold mortgage-backed securities "
3/13/20,What Happens When Bull Markets Unravel,"Strategies that rely on previously solid relationships among different asset classes can run into trouble quickly in correlated market selloffs, but these periods typically don’t last long "
3/13/20,Chenault Leaves Facebook Board After Disagreements With Zuckerberg,Board member disagreed with founder over governance and political policies 
3/13/20,Two FAA Officials Are Key Witnesses in Criminal Probe of Ex-Boeing Pilot,Federal aviation staffers dealt with Mark Forkner on pilot-training requirements as part of approval process
3/13/20,Stocks Push Higher as Haywire Week Continues,Dow on pace to register one of its worst weeks ever as governments and central banks announced measures to cushion impact of the coronavirus
3/13/20,A Pilgrimage to Pilgrim Country: A Roadtripper’s Guide to Northern England,"The Pilgrims came to America 400 years ago this summer, but the journey began much earlier. Follow their trail around northern England—and keep an eye out for Yoda"
