publish_date,headline,description
2020-03-06,Chipotle Founder Steps Down as Chairman,Steve Ells is leaving the casual Mexican-food chain after 27 years; CEO Brian Niccol will replace him
2020-03-06,"After Hourslong Waits to Vote, California Considers Changes, Texas Doesn’t","Slow check-ins, lack of Democratic voting machines cause Super Tuesday delays; ‘I was born in this line and I will die in this line’"
2020-03-06,Coronavirus Spread Could Halt Robust U.S. Job Gains,Economists largely dismissed February’s hiring growth as a less important economic indicator than usual
2020-03-06,The NBA’s Challenge in Behavioral Economics,There have been more than 200 overturned calls this season. But are coaches using their challenges wisely? We reviewed them to find out.
2020-03-06,Fragile Cease-Fire in Syria Offers Few Hopes for Displaced Civilians,Fighting in northwest Syria has triggered mass exodus that truce does little to address 
2020-03-06,Can Better Light Bulbs Improve Your Sleep?,A new approach to LED design informed by wellness trends aims to fix your sleep cycle and keep you alert at work
2020-03-06,A CEO Tries to Navigate the Legal Cannabis Sector’s Bad Trip,"Brendan Kennedy made Tilray the first marijuana firm to go public on Nasdaq, but the industry now faces too many greenhouses and too little investor interest"
2020-03-06,Top Saudi Royal Family Members Detained,Move consolidates power for Crown Prince Mohammed bin Salman
2020-03-06,Steven A. Cohen Raising New Fund to Invest in Private Companies,Point72 Hyperscale aims to back startups focused on artificial intelligence and buy operating companies
2020-03-08,How (and Whether) to Give Heirs Their Inheritance Before You Die,Retirement columnist Glenn Ruffenach also discusses Social Security benefits for divorcees
2020-03-08,Advice for Working From Home as Coronavirus Spreads,"For many people, a period of remote work is looking increasingly inevitable. Here is how to make it go smoothly."
2020-03-08,Lessons From the Dot-Com Bust,"Twenty years ago, the Nasdaq Composite hit a then-record above 5000, the internet-stock peak. Are investors any smarter now?"
2020-03-08,Is it Worth Investing in Unprofitable Companies? We Ran the Numbers,Investing in unprofitable companies is risky—but you might not be fully aware of the types of risk you are taking on
2020-03-08,Two ESG Funds With a European Approach,"IQ Candriam ESG US Equity and IQ Candriam ESG International Equity take a proactive approach to socially responsible investing, which could lead to some surprises for investors"
2020-03-08,What to Do if You’re Behind on Student-Loan Payments,"Lots of options exist, including suspending payments, but some will increase what you owe"
2020-03-08,Publicly Traded Water Utilities Draw Investors,Stocks of publicly traded water utilities are drawing investors who are searching for sustainable investments 
2020-03-08,ETF Closures Continue at Brisk Pace,Niche products in such categories as obesity and organics can fail to attract assets 
2020-03-08,The Pros and Cons of Dividend-Reinvestment Plans in a No-Commission World,"Some financial pros say DRIPs have lost their luster. Many investors, however, still like the circular experience of dividend reinvesting."
2020-03-08,Robo Advisers Keep Adding On Services,"Investors can now get a broader range of products from robo advisers, including cash accounts and retirement services"
2020-03-08,The Difference Between Investing in an NBA Team and in a Startup,"The Boston Celtics’ Wyc Grousbeck, who has done both, offers his perspective"
2020-03-08,"Central Banks Have Lost Firepower, Kaufman Says","Recent rate cut won’t address a crisis, former Salomon Brothers economist says "
2020-03-09,Consumer Financial Protection Bureau Proposes Whistleblower Award Program,Proposal is part of three measures that the agency said would further its strategy to prevent consumer harm 
2020-03-09,"Spicy Pucker Is a Real Flavor, and It’s Everywhere",Makers of snacks and drinks are increasingly combining hot pepper flavors with sour ones to throw a new kind of punch at consumers’ eager palates
2020-03-09,Two Americans Die in Raid on Islamic State Hideout in Iraq,Deaths come as U.S. security cooperation with Baghdad continues despite rift 
2020-03-09,Oil Prices Collapse After Saudi Pledge to Boost Output,"U.S. crude prices slid 25% to their lowest levels since 2016, after Saudi Arabian oil giant Aramco slashed prices and promised to increase output   "
2020-03-09,The NCAA’s Other March Madness: Spring Brings a Race to Reshape Athlete Endorsement Rules,"Key moments are coming in the states, Washington and the courts in March and April that could define how college athletes are compensated"
2020-03-09,New Intelligence on How the Female Brain Works,"Lisa Mosconi, author of ‘The XX Brain,’ breaks down new discoveries science is making about the ways women can optimize cognitive health"
2020-03-09,Blackstone to Buy Majority Stake in Software Company HealthEdge,"Deal values HealthEdge at around $700 million, including debt, a person familiar with the matter says "
2020-03-09,Stock-Buyback Plans Shrink,The new coronavirus may threaten companies’ buyback plans—though a down market could also create a buying opportunity
2020-03-09,America’s Hottest New Dating Sites: Business School Campuses,A growing proportion of women in M.B.A. programs has yielded greater gender parity in classes—and more business-school weddings
2020-03-09,"Stock Market Drops Sharply as Oil, Bond Yields Plunge","Dow falls 1,300 as investors push U.S. yields to fresh lows; early stock slide triggered trading halt"
2020-03-09,Global Fear of Flying Spawns Crisis for Airlines,"As bookings fall sharply, carriers are cutting flights, grounding planes and trimming costs. "
2020-03-09,"Coronavirus Crisis Alters Political, Economic Conventional Wisdom","Outbreak alters thinking about national-security threats, central-bank powers, dependence on China"
2020-03-09,Insurance Broker Aon Strikes Year’s Biggest M&A Deal on Tumultuous Markets Day,"Deal to acquire Willis Towers Watson comes as global markets convulse over spread of coronavirus, oil turmoil"
2020-03-09,Starbucks Tests a Greener Cup,"Paper cup features liner made out of biodegradable materials, rather than plastic"
2020-03-09,U.S. Shale Drillers Could Be Casualties of Oil Price War,"Standoff between Russia, Saudi Arabia over oil production cuts threatens to devastate U.S. frackers, who have little ability to withstand lower prices "
2020-03-09,Twitter Labels Video Retweeted by Trump as ‘Manipulated Media’,"The social network’s move, applying a new rule for first time, fuels fight with conservatives over free speech "
2020-03-09,"Coronavirus, Market Woes Damp Hopes of IT Hiring Comeback",But supply-and-demand imbalance will likely protect tech workforce from the full impact of a downturn
2020-03-09,"Offshore Oil Sector Slammed By Price Plunge, Coronavirus Fears",Shares of world’s biggest rig builders crash as new price war sends prices plummeting 
2020-03-09,Afghanistan’s Presidential Rivals Hold Parallel Inaugurations,The political fissure comes one day before the Afghan government is supposed to launch U.S.-backed peace talks with the Taliban 
2020-03-09,FedEx CFO Alan Graf to Retire; Treasurer Mike Lenz Named Successor,"Graf, 66 years old, will serve as finance chief until Sept. 22 and then help in Lenz’s transition through the end of the year"
2020-03-09,Michigan Democrats Will Offer General Election Clues to Trump Campaign,"Sanders, Biden hope to win Midwest industrial state Tuesday and retake it from the president in November "
2020-03-09,Streamer Quibi Faces Patent Infringement Claim Over Video Feature,Interactive video company Eko says Quibi’s highly touted ‘Turnstyle’ feature makes unauthorized use of its intellectual property; Quibi denies the allegation and files suit
2020-03-09,"Stock Market Extends Drop as Oil, Bond Yields Plunge","Dow falls 1,900 points as investors push U.S. yields to fresh lows; early stock slide triggered halt"
2020-03-09,"Coronavirus Symptoms Start About Five Days After Infection, New Research Finds","Incubation period supports recommendations of a two-week quarantine, according to a Johns Hopkins University study"
2020-03-09,Circuit Breaker Halts Stock Trading for First Time Since 1997,Stock trading halted for 15 minutes after S&P 500 falls 7%
2020-03-09,Montana’s Democratic Governor Dives Into Senate Race,"Bullock was re-elected as governor in 2016, when President Trump handily won the traditionally red state"
2020-03-09,U.S. Chip Industry Fears Long-Term Damage From China Trade Fight,"Silicon Valley warns that sales restrictions threaten to cede its market dominance to rivals
		
			"
2020-03-09,Head of N.Y. Port Authority Tests Positive for Coronavirus,New York surpasses Washington state for the most confirmed infections in the country
2020-03-09,XPO to Acquire U.K. Logistics Business,"Deal includes drinks logistics, food services and retail and technology businesses from Kuehne + Nagel’s U.K. contract logistics portfolio "
2020-03-09,Italy Faces Prison Revolts After New Coronavirus Measures,Inmates stage riots to protest the suspension of visits; rule brought in to try to arrest spread of virus
2020-03-09,"Coronavirus Epidemic Is Close to a Pandemic, WHO Says","Confirmed cases outside China tripled over the past week, with the north of Italy under lockdown"
2020-03-09,Stocks Fall More Than 7% in Dow’s Worst Day Since 2008,"Blue-chip index falls 2,000 points, S&P slides as investors push U.S. Treasury yields to fresh lows "
2020-03-09,"EU, Turkey to Discuss Migration and How to Improve Frayed Ties","Tensions between Brussels and Ankara have soared in recent days, with both sides seeming to misjudge the other’s mood"
2020-03-09,"Bracing for Sea Rise, Miami Beach Fights Tide of Angry Residents",
2020-03-09,Split Verdict Given for CIA Programmer Charged in Massive Leak,Jury finds Joshua Schulte guilty of false statements and contempt of court but deadlocks on whether he actually gave information to WikiLeaks 
2020-03-09,Fed Turns to Crisis-Era Playbook to Combat Market Disruptions,The central bank takes initial step to keep short-term funding markets operating by boosting the size of short-term lending operations
2020-03-09,Confirmed Coronavirus Cases Outside China Tripled in Past Week,"Total number of cases of virus that causes Covid-19 surpasses 111,000, with infections in 108 countries and regions"
2020-03-09,Investors Rush Into Bonds to Shelter From Market Storm,Yields on government bonds tumble to record lows while corporate debt suffers its worst selloff in years   
2020-03-09,Trainers Accused of Racehorse Doping Scheme,"Over two dozen industry professionals were charged, including the trainer of Maximum Security "
2020-03-09,Italy Virus Containment Measures Extended to Entire Country,"Extension means only essential travel to, from and within all of country is allowed"
2020-03-09,"Ethiopia Blames Design, Training Problems in Boeing 737 MAX Crash",Authorities say flight-control system was vulnerable to misfire and prone to issue confusing warnings
2020-03-09,Wells Fargo Chairman Elizabeth Duke Resigns,"Board member James Quigley also quits, ahead of Congressional hearing this week"
2020-03-09,Bank Stocks Plunge Along With Oil Prices,Tumbling crude after recent rate cut and pessimistic outlook for growth due to coronavirus fears foreshadows tough times ahead for lenders
2020-03-09,"Twitter, Elliott Strike Truce That Leaves CEO Dorsey in Place","Agreement calls for Twitter to appoint two new board members, search for a new independent director, and make $2 billion in share repurchases"
2020-03-09,"The Markets Are Awful, But at Least They Work—for Now","Selloff has triggered stress in financial plumbing, but measures of market disruption suggest this hasn’t yet become anything like 2008 "
2020-03-09,"Yes, You CAN Clean Your iPhone With Disinfecting Wipes","After years of telling us not to use Clorox wipes and other cleaning products on our phones, Apple finally admits that some disinfectants are fine "
2020-03-09,"LeBron James: Steady in a Mad, Mad, Mad, Mad World",The planet feels a right little upside down right now. Basketball’s biggest star stays the same. 
2020-03-10,Coronavirus vs. Flu: Which Virus Is Deadlier?,"The two maladies are similar in many ways, but people have more protection against seasonal flu "
2020-03-10,"Tobacco Billionaire Brad Kelley Is Selling Over 500,000 Acres for $500 Million","After listing ranch property in West Texas earlier this year, Kelley is asking $96 million for Dawson Elk Valley Ranch in New Mexico"
2020-03-10,"New York, Europe Step Up Coronavirus Fight, Asia’s Efforts Bear Fruit","In China, reports of new cases dwindle and numbers of sick people fall "
2020-03-10,Dirty Dishes and Anger Build Up At Work,"Offices are moving away from plastics, and people are bringing special food from home. That means a lot of dishes in the corporate kitchen; ‘science experiments’"
2020-03-10,Stocks Soar in Turbulent Trading a Day After Bruising Selloff,Indexes gained steam as afternoon wears on; crude oil and Treasury yields rise
2020-03-10,Coachella Music Festival Postponed Until October,All tickets for April dates to be honored on new October weekends
2020-03-10,"Two Perfect Days in Sydney—One Extravagant, One Thrifty","Australia’s most visited city offers temptations beyond its famous beaches and much-photographed harbor. George Epaminondas outlines two itineraries for two budgets. And, yes, one includes Vegemite"
2020-03-10,"Online Coupon King Sells Startup to PayPal for $4 Billion, Buys $60 Million House","Honey co-founder George Ruan bought an unfinished 21,000-square-foot Bel-Air property in an off-market deal"
2020-03-10,The Ivy League Cancels Conference Basketball Tournaments,The teams with the best regular season record—Yale’s men and Princeton’s women—will receive the conference’s automatic bid to the NCAA tournament
2020-03-10,Lawmakers Push Revised Surveillance Law as Deadline Looms,"Key Democrats, with some GOP support, unveiled legislation to extend expiring surveillance powers, but it is unclear whether President Trump would sign it "
2020-03-10,"PG&E Settles with FEMA, First Responders Over $4 Billion in Bankruptcy Claims",Federal agency dropped threat to sue victims of California wildfires if utility refused to pay for emergency services 
2020-03-10,Stocks Climb in Turbulent Trading a Day After Bruising Selloff,Indexes gain steam as afternoon wears on; crude oil and Treasury yields rise
2020-03-10,"How China Slowed Coronavirus: Lockdowns, Surveillance, Enforcers",Authorities ignored global norms for responding to epidemics; now other countries are taking a look at Beijing’s strategies
2020-03-10,Biden and Sanders Square Off in Super Tuesday Sequel,"Next primaries provide former vice president opportunity to consolidate lead, Vermont senator chance to regain footing"
2020-03-10,Coronavirus Prompts Hospitals to Fast-Track Telemedicine Projects,Hospital CIOs are triaging IT systems as Covid-19 cases increase
2020-03-10,Trump’s Acting Intel Chief to Skip Election-Security Briefing to Congress,"Richard Grenell won’t attend closed briefing Trump dismissed as ‘another Russia, Russia, Russia meeting’ "
2020-03-10,Twitter CEO Dorsey Faces Pressure to Grow Despite Elliott Truce,The social-media company’s ability to boost sales and usage rates could determine co-founder’s fate 
2020-03-10,‘Sweet Land’ Review: A Journey Through History,"In its ambitious, sprawling opera, staged across Los Angeles State Historic Park, The Industry explores a troubled colonial past. "
2020-03-10,Harvey Weinstein Accusers Look for Closure at His Sentencing,Hollywood producer faces between five and 29 years in prison after being convicted of criminal sex act and third-degree rape 
2020-03-10,Appeals Court Rules Congress Can Have Access to Mueller Grand-Jury Materials,House Democrats sought materials that were redacted in Mueller report on Russian interference in 2016 election
2020-03-10,The Stress—and Stress Relief—of the Gym During Coronavirus,"Exercise is crucial during anxious times—here’s how to handle, and when to avoid, workouts in group settings"
2020-03-10,Surge in Sanctions Lifts Compliance Services,"An increase in clientele is leading to swelling ranks, expanded offices and competition for compliance professionals"
2020-03-10,Love for a Luxury-Free Land Rover,"This old 110 from the British military has few of the comforts of commercial vehicles, but its American owner has driven it all over"
2020-03-10,It’s Red Joke vs. Blue Joke in ‘The Hunt’,We asked the director to break down the jokes in the controversial new movie out this Friday
2020-03-10,"In San Francisco, a Living Room You Can Actually Live In",The owners of this 1906 Victorian home wanted a beautiful living space that was designed to last
2020-03-10,Putin Backs Proposal Paving Way for New Presidential Term,Russian parliament adopts a proposal that would reset Putin’s presidential term count
2020-03-10,Trump Endorses Tommy Tuberville Over Jeff Sessions in Alabama GOP Senate Race,President backs former football coach over his first attorney general who held the seat for many years 
2020-03-10,‘I’m So Tired’: Stranded Trucker Becomes Unlikely Hero of Coronavirus Lockdown,Hubei province license plate leaves driver shunned and stranded for a month 500 miles from his home
2020-03-10,Coronavirus School Closures Expose Digital Haves and Have-Nots,"As schools from Seattle to New York start closing, educators face challenges of remote learning"
2020-03-10,Afghans Agree to Release Taliban Prisoners to Advance Talks,Target date for start of talks between Afghan government and Taliban passe without negotiations 
2020-03-10,Coronavirus Confronts Global Economy With Long Road to Recovery,Companies are dealing with both a shock to their supply chains and weaker demand from rattled consumers
2020-03-10,Wells Fargo CEO: Bank’s Past Conduct Was ‘Deeply Disturbing’,Charles Scharf tells lawmakers the bank needs to operate ‘fundamentally differently’ 
2020-03-10,"Trump Struggles to Balance Mitigating Epidemic, Protecting Economy",President must overcome his administration’s misconceptions of the coronavirus crisis and frictions with other political leaders
2020-03-10,Design-Pro Tips for Decorating Small Apartments,"To make a grand personal statement in a tight Manhattan flat, a couple who live—and design interiors—together defy conventional wisdom"
2020-03-10,"Elon Musk Says Incentives, Costs Will Influence Site of New U.S. Tesla Factory",Electric-car maker is scouting locations to build coming pickup truck and Model Y compact sport-utility vehicle 
2020-03-10,Your Open-Floor Office Could Help Spread Coronavirus,"Cubicles and private offices have made way for open floors, where a sneeze or cough can circulate uninterrupted"
2020-03-10,Coronavirus Confronts Global Economy With Tough Recovery,Companies are dealing with both a shock to their supply chains and weaker demand from rattled consumers
2020-03-10,Airlines Trim Capacity Over Coronavirus Spread; Some Executives Take Pay Cuts,"Carriers face the most severe downturn in decades as businesses, tourists reduce travel"
2020-03-10,Lawsuit Accuses Quibi of Patent Infringement Over Video Feature,Video-technology firm Eko says Quibi’s Turnstyle feature makes unauthorized use of its intellectual property 
2020-03-10,Lawmakers Rebuff Trump on Payroll-Tax Suspension for Outbreak,"Some Republicans, Democrats seek targeted coronavirus relief; Mnuchin discusses possible package with Pelosi "
2020-03-10,Dick’s to Stop Selling Firearms in Half Its Stores,"Retailer had already scaled back gun business, raised age requirements "
2020-03-10,U.S. Steps Up Coronavirus Fight,"New York set up the country’s first ‘containment area,’ colleges canceled classes and Democratic presidential candidates canceled rallies in Ohio"
2020-03-10,Fever-Detecting Goggles and Disinfectant Drones: Countries Turn to Tech to Fight Coronavirus,"But with high-tech solutions come bugs, glitches and human error"
2020-03-10,Artificial Turf Strikes Back in Baseball,"After nearly disappearing from the majors for a quarter-century, three teams have switched from grass to turf in the span of 12 months"
2020-03-10,The Latest Must-Have Accessory for Men Is...a Pearl Necklace?,"Harry Styles, Pharrell Williams and A$AP Rocky are just a few of the trend-setting gentlemen wearing the audaciously delicate strands."
2020-03-10,"After a Buildup to Counter Iran, U.S. Troops Begin Leaving Mideast","U.S. trimming the 90,000 troops across the region as Iran, ravaged by the new coronavirus, hasn’t posed as large a threat as U.S. officials once feared "
2020-03-11,"Rocket Attack on Iraqi Base Kills Two U.S. Troops, British Soldier",Another dozen people were wounded after 15 rockets were fired at Camp Taji base 
2020-03-11,Carl Icahn Boosts Occidental Stake to Almost 10% as Shares Plummet,Billionaire shareholder activist has criticized $38 billion acquisition of Anadarko 
2020-03-11,Hate Work Travel? That Could Be a Problem for Warren Buffett,"Berkshire Hathaway is betting U.S. airlines will overcome coronavirus, but some fear it could permanently reduce demand for corporate travel "
2020-03-11,AT&T’s Xandr Ad Unit Cuts TV Deals With Disney and AMC,Tools for data-driven advertising expand their reach
2020-03-11,Supreme Court Allows Trump Administration to Maintain Remain-In-Mexico Immigration Policy,High court allows administration to maintain policy during ongoing litigation
2020-03-11,Chinese-Owned TikTok Launches U.S. ‘Transparency Center’ to Counter Criticism,Video-sharing app’s Los Angeles facility to allow outside experts to view how teams at the company moderate content 
2020-03-11,"West’s Biggest Reservoir Is Back on the Rise, Thanks to Conservation, Snow","Lake Mead, near Las Vegas, reaches its highest level in six years after successful efforts to slash water use"
2020-03-11,Joe Biden Looks to Unite Democrats After Beating Bernie Sanders in Michigan,Two powerful liberal groups declare former vice president the likely party nominee 
2020-03-11,"MLB Wants Alternate Sites, Not Empty Stadiums, If Coronavirus Disrupts Season","Teams could play at other stadiums in cities less affected by the crisis, or they could stay at their spring training facilities in Arizona or Florida"
2020-03-11,Saudis Plan for Record Oil Production Capacity in Price War With Russia,"Some OPEC nations try to broker oil-market peace, others grow resentful of cartel leader, Saudi Arabia "
2020-03-11,U.K. Sends a Jolt of Economic Stimulus to Cushion Against the Coronavirus,"Bank of England cuts interest rate, while policy makers announce measures including a facility to encourage banks to lend to small businesses"
2020-03-11,Online Travel’s Unknown Destination,A warning from Booking.com’s parent casts more doubt on the sector’s outlook 
2020-03-11,U.S. to Ban Travel From Europe for 30 Days due to Coronavirus,"Travel suspension begins midnight Friday, excludes the U.K."
2020-03-11,Stop the Music: South by Southwest Coronavirus Cancellation Reverberates Through Economy,"The outbreak upends events across the globe. In Austin, the financial hit is ‘kind of like a tornado’  "
2020-03-11,Coronavirus-Closed Factories in China Face Delays in Restarting as Authorities Flip-Flop,Authorities push back the restart date for most plants to the end of next week
2020-03-11,Congress Approves Bill to Kill DeVos Plan on Student-Debt Forgiveness,President Trump hasn’t said whether he would sign the bill 
2020-03-11,Coronavirus Declared Pandemic by World Health Organization,China reports rise in infections imported from abroad; Merkel warns of broader spread of virus
2020-03-11,South Korean Tanker Owner Heung-A Shipping Seeks Debt Restructuring,Slowdown stemming from coronavirus hits troubled tanker operator that runs 19 ships 
2020-03-11,IT Spending Forecasts Take a Hit as Coronavirus Slams Global Markets,"‘Downside risk is increasing every day,’ says IDC spending report"
2020-03-11,John Wood Group Earmarks $46 Million for Bribery Settlements,The oil-field services company said it could estimate the cost of expected settlements related to dealings with Unaoil 
2020-03-11,"Biden Looks to Unite Democrats, as Sanders Vows to Stay in Race",Two powerful liberal groups declare former vice president the likely party nominee 
2020-03-11,House Passes War Powers Resolution Limiting President’s Ability to Strike Iran,"Bill passed Senate in February, in response to U.S. killing of Iran’s Gen. Qassem Soleimani"
2020-03-11,Top Colleges by Size in the Northeast,The region has more than half of the top 10 small schools nationwide in the WSJ/THE College Rankings
2020-03-11,"Coronavirus Hits Fiat Chrysler, Pirelli Plants in Italy",Auto giant and tire maker to lower production as epidemic spreads
2020-03-11,"‘Ridiculously Disastrous’: NFL, Players Nervously Await CBA Vote",League owners already approved a new collective bargaining agreement. Now it’s up to the players—and there are outspoken players who don’t want it to pass
2020-03-11,House for Sale—Pool and Oval Office Included,Homeowners create their own version of presidential digs; ‘that wow factor’
2020-03-11,House Passes Revised Surveillance Law as Deadline Nears,Factions within both parties oppose the bill to renew a cornerstone of national-security system that expires this weekend
2020-03-11,Saudi Arabia’s Crown Prince Tanked Oil Markets. Here’s the Back Story.,"Mohammed bin Salman, one of the most powerful men in the Middle East, chose a weekend when the world was preoccupied with the novel coronavirus to assert his standing at home and abroad"
2020-03-11,Dow Jones Industrial Average’s 11-Year Bull Run Ends,"Blue-chip stock index drops more than 1,400 points, closing a bull run that started in 2009"
2020-03-11,Hollywood Relies More Than Ever on Movie-Streaming Revenue From Overseas,China in 2020 was expected to unseat the U.S. as world’s largest box-office market—until widespread theater closings due to coronavirus
2020-03-11,Lack of Sick Time Worries Workers as Coronavirus Looms,Some big employers are adjusting their policies. But millions question whether their sick days will run out.
2020-03-11,Appeals Court Reviews Ohio Law Restricting Down-Syndrome Abortions,Antiabortion activists see hope that the conservative bench could uphold protection of fetuses with the genetic disorder 
2020-03-11,Coronavirus Could Halt New York City’s St. Patrick’s Day Parade,Mayor de Blasio says his administration is discussing options with parade organizers
2020-03-11,U.S. Stocks Decline as Volatility Increases,European share benchmarks drift lower despite an unexpected rate cut by the Bank of England
2020-03-11,How to Stock Up for Coronavirus Without Getting Fleeced,"Panicked because the Purell’s out? Remain calm, and heed these tips "
2020-03-11,"Modell’s Files for Bankruptcy, Plans to Close Down All Stores","The sporting-good retailer, a fixture in greater New York, plans to shutter its stores after failing to secure an investor "
2020-03-11,Ailing Chinese Bank Secures $1.7 Billion of New Capital,"Bank of Jinzhou, deep in bad loans, plans to sell new shares to two Beijing-backed buyers"
2020-03-11,Xandr Chief Executive Brian Lesser Resigns,"Lesser was founding CEO of Xandr, AT&T’s unit that uses data to sell targeted ads"
2020-03-11,Stocks Approach Bear Market As Dow Falls More Than 5%,"Index drops more than 1,300 points as World Health Organization declares coronavirus a pandemic"
2020-03-11,Digital Ad Upfronts Weigh Going Online-Only Amid Coronavirus Fears,YouTube will stream its annual pitch to advertisers instead of hosting an in-person event 
2020-03-11,Putin’s Bid to Extend Rule Is Approved by Russia’s Parliament,"Constitutional changes could make Putin the longest-ruling leader in Russia’s modern history, surpassing Stalin"
2020-03-11,AT&T Chief’s Pay Jumped to $32 Million After Hedge Fund Battle,Stock appreciation helped increase top executives’ compensation after fight with activist investor Elliott Management
2020-03-11,"U.S. Coronavirus Cases Top 1,000; Merkel Warns of Broader Spread",China reports a rise in infections imported from abroad; Bank of England follows Fed with rate cut 
2020-03-11,U.S. Upbraids China Over Human Rights,"Pompeo, issuing human rights report, repeats that China’s treatment of Muslims represents the ‘stain of the century’ "
2020-03-11,Boeing Acts to Preserve Cash,Coronavirus adds to pressure from delays in getting MAX recertified 
2020-03-11,Trump Administration to Delay April 15 Tax Deadline for Most Individuals,Tax filing extension would be part of broader fiscal stimulus effort
2020-03-11,Plunging Mortgage Rates Might Not End U.S. Housing Doldrums,"Hangovers from financial crisis limit new construction and keep prices high, weighing on economy "
2020-03-11,"Sanders Vows to Stay in Race, as Biden Looks to Unite Democrats",Two powerful liberal groups declare former vice president the likely party nominee 
2020-03-11,Stocks’ 11-Year Bull Run Is on the Verge of Ending,"Index drops more than 1,300 points, putting 11-year bull run for stocks in jeopardy"
2020-03-11,Airline Fees Rankle Travelers as Coronavirus Cancels Trips,"Passengers want refunds, but airlines and other travel companies are often offering more limited alternatives"
2020-03-11,"U.S. Budget Deficit Grew 15% in First Five Months of Fiscal Year, Treasury Says",The U.S. budget deficit totaled $625 billion in period as government revenue rose 7%
2020-03-11,U.S. Soccer Federation Says Male Players Carry ‘More Responsibility’; Backlash Follows,The court filing highlights the hazards the federation faces in defending against the U.S. women’s pay-discrimination suit
2020-03-11,Boeing Books 46 Cancellations Including More MAX Jets,Aerospace giant recorded a net loss of 28 orders in February as MAX remains grounded 
2020-03-11,Neiman Marcus Backs Away From Discount Business,Retailer plans to close more than half of its Last Call stores to focus on luxury shoppers
2020-03-11,NCAA Tournaments Bar Spectators Over Coronavirus Worries,New edicts from local officials force organizers to bar spectators at the men’s and women’s basketball tournaments and NBA games in cities with coronavirus outbreaks
2020-03-11,Swedbank Notifies U.S. of Potential Sanctions Violations,The bank said an internal investigation found $4.8 million in transactions that constitute potential sanctions violations
2020-03-11,"Saudi Arabia Signals Bigger Oil-Output Boost, Pushing Crude Price Lower",State oil giant Aramco says the kingdom’s energy ministry ordered it to raise output capacity to 13 million barrels a day 
2020-03-11,Plunging Mortgage Rates May Not End U.S. Housing Doldrums,"Hangovers from financial crisis limit new construction and keep prices high, weighing on economy "
2020-03-11,U.S. Treasury Blacklists Two Zimbabwean Officials for Alleged Human Rights Abuses,The designations followed the blacklisting of the two officials by the U.S. State Department for alleged human rights violations last year 
2020-03-11,Starboard Nominated Minority Slate of Directors to eBay Board,Activist investor has pressured the online marketplace to move faster on sale of classified-ad unit
2020-03-11,The British Are Coming—to Your Streaming Menu,"With mainstream and niche services ramping up offerings of classic U.K. fare, fans must solve the mystery of what and how to watch"
2020-03-11,"Construction Industry Tackles Suicide, an Occupational Hazard",Firms aim to change a stoic culture and confront mental-health issues; ‘I don’t want to lose more employees’ 
2020-03-11,Why Dennis Quaid Bought a Smart Toilet,"The actor, musician and host of his forthcoming podcast ‘Dennissance’ on cutting the cord, catching up with the Queen and owning a robot that tends to very private needs"
2020-03-11,"For These Young Homebuyers, Age is Just a Number","As older homes sit unsold, a small contingent of deal seekers are trading turn key for fixer-uppers"
2020-03-11,Japan Olympics Chief Rejects Idea of Two-Year Delay Over Coronavirus,"‘We can’t just stop the whole thing,’ says former prime minister Yoshiro Mori"
2020-03-11,‘Rent-a-Banks’ Defy States’ Growing Efforts to Curb High-Cost Lending,"Lenders ink deals with banks to offer loans in states with interest-rate caps, spurring calls for tighter federal regulation"
2020-03-11,PepsiCo Agrees to Buy Energy-Drink Maker,Beverage giant to pay $3.85 billion for Rockstar
2020-03-11,Whether You’re Tested for Coronavirus Depends on Where You Live,"While testing-equipment providers work to increase supplies, availability is uneven and some labs are limiting exams to the most severe cases"
2020-03-12,U.S. Strikes Iran-Backed Militias in Iraq,"Operations, targeting weapons storage facilities, follow the recent killing of two U.S. troops, British soldier"
2020-03-12,White House Evaluates Trump Exposure to Coronavirus,Brazilian official who recently met with president has tested positive for Covid-19; Congress closes U.S. Capitol to public
2020-03-12,"U.S. Soccer Federation President Resigns in Wake of Sponsor, Player Backlash",Federation’s court filings asserting that male players had more skill and responsibility than women players prompted outrage from U.S. women’s team suing for discrimination
2020-03-12,Oracle Tees Up Another $15 Billion In Buybacks,"The enterprise-software provider posted $9.79 billion in quarterly revenue, beating forecasts "
2020-03-12,"How One Family Is Dealing With Life, Disrupted","In Hong Kong, they face closed schools and facilities, shortages of some necessities—and a small apartment"
2020-03-12,National Hockey League Suspends Play,The move to pause the 2019-20 season comes following an emergency meeting of the league’s board of governors
2020-03-12,U.S. Soccer President Apologizes After U.S. Women Protest Court Filing,Carlos Cordeiro addressed the filing’s language after sponsor criticism and players turning jerseys inside-out
2020-03-12,‘Panic’: That Wave of Anxiety Is Named After a Partying Greek God,The term comes from a half-goat deity known for playing pipes—and occasionally letting out terrifying screams 
2020-03-12,College Students’ Dispersal Over Virus Concern Is Expected to Snarl Census,"Students who live at their schools should be counted there, not at their parents’ homes, even if they are home on a vacation or break, according to the Census Bureau"
2020-03-12,Harvey Weinstein Sentenced to 23 Years,Hollywood producer faced between five and 29 years in prison after being convicted of criminal sex act and third-degree rape
2020-03-12,Longtime Amazon Executive Departs for Online Lender SoFi,Maria Renz worked directly for CEO Jeff Bezos during her 20-year stint at the e-commerce giant 
